time_ps,potential,temperature,pressure,constr._rmsd,box-x,box-z,density
0.000000,-1006054.500000000,312.801849000,-190.345901000,0.000004000,9.267390000,12.219480000,1018.979187000
2.000000,-1005166.062500000,311.396942000,161.248123000,0.000004000,9.263407000,12.203990000,1021.150085000
4.000000,-1007195.312500000,311.292633000,97.463013000,0.000004000,9.264833000,12.223897000,1019.173218000
6.000000,-1005214.625000000,310.591156000,184.502396000,0.000004000,9.264576000,12.215451000,1019.934570000
8.000000,-1008561.750000000,307.109863000,-8.645276000,0.000004000,9.272291000,12.215921000,1018.198669000
10.000000,-1009715.187500000,309.133423000,-60.303986000,0.000004000,9.268970000,12.221675000,1018.448914000
12.000000,-1007507.000000000,310.395538000,120.857704000,0.000004000,9.269364000,12.222358000,1018.305359000
14.000000,-1008021.812500000,309.514709000,162.814148000,0.000004000,9.265987000,12.218932000,1019.333313000
16.000000,-1008479.125000000,308.473419000,-44.200947000,0.000004000,9.264802000,12.206870000,1020.601746000
18.000000,-1009814.625000000,310.551514000,71.109138000,0.000004000,9.269383000,12.208739000,1019.437012000
20.000000,-1007839.562500000,309.102417000,5.578578000,0.000004000,9.270489000,12.221622000,1018.119507000
22.000000,-1005892.125000000,311.712982000,53.750408000,0.000004000,9.271285000,12.204514000,1019.371643000
24.000000,-1007647.750000000,309.596924000,174.330795000,0.000004000,9.273405000,12.204450000,1018.911011000
26.000000,-1007050.812500000,309.167908000,-107.974144000,0.000004000,9.272623000,12.222519000,1017.576233000
28.000000,-1006573.500000000,309.584686000,-44.444584000,0.000004000,9.274109000,12.213679000,1017.986450000
30.000000,-1008257.437500000,309.731384000,38.755775000,0.000004000,9.273864000,12.208768000,1018.449890000
32.000000,-1007442.500000000,309.419006000,-97.811882000,0.000004000,9.278484000,12.212437000,1017.130127000
34.000000,-1008085.687500000,308.016266000,-166.238510000,0.000004000,9.276648000,12.216072000,1017.230042000
36.000000,-1008451.187500000,309.458252000,-30.047541000,0.000004000,9.271126000,12.217870000,1018.292297000
38.000000,-1009107.812500000,311.853455000,121.821983000,0.000004000,9.267965000,12.215588000,1019.177246000
40.000000,-1007426.250000000,310.259247000,121.801842000,0.000004000,9.270534000,12.236386000,1016.881226000
