observable,column,final_window_ps,final_window_mean,final_window_std,last_frame_value,target
Temperature,temperature,100.0,310.33576809803924,1.1883495504106756,310.194824,310.15
Pressure,pressure,100.0,18.25196496078432,102.87170360381477,34.520203,1.0
Density,density,100.0,1018.5209445490196,1.2991043275769867,1020.312439,
Potential Energy,potential,100.0,-1007350.9142156863,1435.3731902018105,-1008380.4375,
Box-X,box-x,100.0,9.232777980392157,0.01023861599727265,9.236159,
Box-Z,box-z,100.0,12.316853529411762,0.02327511014139602,12.28618,
